Date,ChangeBitcoin
2010-07-31,0.0
2010-08-31,0.0
2010-09-30,0.0
2010-10-31,2.166666667
2010-11-30,0.105263158
2010-12-31,0.428571429
2011-01-31,0.733333333
2011-02-28,0.653846154
2011-03-31,-0.093023256
2011-04-30,2.692307692
2011-05-31,2.034722222
2011-06-30,0.842105263
2011-07-31,-0.161490683
2011-08-31,-0.392592593
2011-09-30,-0.373170732
2011-10-31,-0.36770428
2011-11-30,-0.086153846
2011-12-31,0.430976431
2012-01-31,0.289411765
2012-02-29,-0.113138686
2012-03-31,0.0
2012-04-30,0.018518519
2012-05-31,0.046464646
2012-06-30,0.283783784
2012-07-31,0.406015038
2012-08-31,0.086631016
2012-09-30,0.219488189
2012-10-31,-0.096045198
2012-11-30,0.122321429
2012-12-31,0.074781225
2013-01-31,0.510732791
2013-02-28,0.635472807
2013-03-31,1.711204314
2013-04-30,0.477900552
2013-05-31,-0.048971963
2013-06-30,-0.2375
2013-07-31,0.002680689
2013-08-31,0.295835476
2013-09-30,0.008490716
2013-10-31,0.623573845
2013-11-30,4.510322768
2013-12-31,-0.343104661
2014-01-31,0.080065338
2014-02-28,-0.297239336
2014-03-31,-0.178441022
2014-04-30,-0.037616747
2014-05-31,0.369653972
2014-06-30,0.053834376
2014-07-31,-0.09368286
2014-08-31,-0.181901903
2014-09-30,-0.187658954
2014-10-31,-0.121381646
2014-11-30,0.097494013
2014-12-31,-0.155418352
2015-01-31,-0.276310814
2015-02-28,0.109722646
2015-03-31,-0.042099894
2015-04-30,-0.030965839
2015-05-31,-0.02028912
2015-06-30,0.12593839
2015-07-31,0.090891673
2015-08-31,-0.190663529
2015-09-30,0.028557788
2015-10-31,0.363897211
2015-11-30,0.165795254
2015-12-31,0.146754419
2016-01-31,-0.12688605
2016-02-29,0.150070238
2016-03-31,-0.039316909
2016-04-30,0.091879573
2016-05-31,0.146303416
2016-06-30,0.275098708
2016-07-31,-0.05000977
2016-08-31,-0.094287975
2016-09-30,0.058664244
2016-10-31,0.15871549
2016-11-30,0.058518592
2016-12-31,0.280857304
2017-01-31,0.01016796
2017-02-28,0.240212543
2017-03-31,-0.098943573
2017-04-30,0.26178712
2017-05-31,0.685877156
2017-06-30,0.094659026
2017-07-31,0.15353047
2017-08-31,0.642489201
2017-09-30,-0.120247438
2017-10-31,0.528906203
2017-11-30,0.275470603
2017-12-31,0.726411163
2018-01-31,-0.290588376
2018-02-28,0.057788806
2018-03-31,-0.34973458
2018-04-30,0.353182994
2018-05-31,-0.187045844
2018-06-30,-0.217375847
2018-07-31,0.303372748
2018-08-31,-0.083859272
2018-09-30,-0.068605741
2018-10-31,-0.039458644
2018-11-30,-0.376367733
2018-12-31,-0.065184537
2019-01-31,-0.069985684
2019-02-28,0.112814014
2019-03-31,0.076380725
2019-04-30,0.279723526
2019-05-31,0.623442353
2019-06-30,0.339817814
2019-07-31,-0.11993087
2019-08-31,-0.039936728
2019-09-30,-0.143907552
2019-10-31,0.115099079
2019-11-30,-0.160954663
2019-12-31,-0.071601252
2020-01-31,0.306780828
2020-02-29,-0.077069452
2020-03-31,-0.249264481
2020-04-30,0.361835538
2020-05-31,0.076906519
2020-06-30,-0.03769339
2020-07-31,0.240354036
2020-08-31,0.029347863
2020-09-30,-0.083199185
2020-10-31,0.293561659
2020-11-30,0.399167515
2020-12-31,0.496303398
2021-01-31,0.124325603
2021-02-28,0.387929178
2021-03-31,0.303038527
2021-04-30,-0.036393364
2021-05-31,-0.354197806
2021-06-30,-0.057395446
2021-07-31,0.201105103
2021-08-31,0.131638927
2021-09-30,-0.075990038
2021-10-31,0.403800734
2021-11-30,-0.062931502
2021-12-31,-0.189101706
